what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1455692647926
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1455692647945
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1455692647945
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1455692647946
os,sysinfo,,,"macosx",1455692647951
arch,sysinfo,,,"x86_64",1455692647951
ws,sysinfo,,,"cocoa",1455692647951
locale,sysinfo,,,"en_US",1455692647951
processors,sysinfo,,,"4",1455692647951
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455692647951
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1455692647951
java.specification.name,sysinfo,,,"Java Platform API Specification",1455692647951
